1;Hoeveel tenen heeft een struisvogel aan een poot?;2;3;4;5
2;Hoeveel poten heeft een vlinder?;6;4;2;8
3;Een krab heeft ... poten.;10;6;8;12
4;Hoeveel Javaanse neushoorns leven er ongeveer in het wild? ;50;Geen;500;5000
5;Een vlo kan ... keer zo hoog springen als zijn eigen lengte. ;350;25;100;600
6;Hoeveel stekels heeft een volwassen egel?;5000;2500;3500;1000
7;Hoe lang wordt de langste worm?;6,7 meter;3,8 meter;5,4 meter;1,2 meter
8;Hoeveel keer kan een mier zijn eigen gewicht tillen?;60 keer;20 keer ;50 keer;100 keer
9;Hoe groot kan een zeekrokodil worden?;8 meter;6 meter;10 meter ;12 meter
10;Hoeveel kilo poept een volwassen olifant ongeveer per dag? ;100 kilo;1 kilo;500 kilo ;5000 kilo
11;Hoeveel liter past er in de pens van een koe?;120 liter;50 liter;80 liter;150 liter
12;Hoe lang slaapt een giraf per dag?;15 minuten;3 uur;8 uur;16 uur
13;Hoeveel uur slaap heeft een luiaard per dag nodig?;20 uur;24 uur;18 uur;16 uur
14;Hoe zwaar is het hart van een giraf?;12 kilo;5 kilo;1 kilo;20 kilo
15;Hoeveel uur slaap heeft een tijger per dag nodig?;16 uur;8 uur;3 uur;20 uur
16;Hoeveel uur slaap heeft een olifant per dag nodig?;4 uur;8 uur;16 uur;20 uur
17;Hoe ver kan de Rosse Grutto vogel aan een stuk vliegen?;11.000 kilometer;5.700 kilometer;2500 kilometer;20.000 kilometer
18;Hoe lang is de tong van een giraffe ongeveer?;40 cm;60 cm;10 cm;25 cm
19;Hoe lang kan een anaconda overleven zonder eten?;Een paar maanden;Een paar dagen;Een paar jaar;Hij heeft geen eten nodig
20;Hoe lang kan een slak in een winterslaap blijven?;3 jaar;3 dagen; 3 weken;3 maanden
21;Hoe snel loopt een kakkerlak?;6,5 kilometer per uur;4,5 kilometer per uur;5,5 kilometer per uur;3,5 kilometer per uur
22;Hoeveel haaiensoorten bestaan er?;400;4000;40000;4 miljoen
23;Hoeveel soorten spinnen bestaan er?;40000;4000;400;4 miljoen
24;Hoeveel volt is de stroomstoot van een sidderaal? ;500 volt; 100 volt; 250 volt;1000 volt
25;Hoe ver kan een mensenvlo ongeveer springen?;30 cm;100 cm ;10 cm;50 cm
26;Welk dier wordt in het Latijn 'Canis Lupus Familiaris' genoemd?;Hond;Wolf;Beer;Aap
27;Welk dier wordt in het Latijn 'Formica Rufa' genoemd?;Mier;Meeuw;Rund;Aap
28;Zo vlijtig als een …;mier;muis;liesje;bij
29;Welke vogel maakt de langste trektocht?;Noordse stern;Boerenzwaluw;Nachtegaal;Blauwborst
30;Welk beest heeft blauw bloed?;Degenkrab;Adelaar;Leeuw;Blauwe vinvis
31;Je hebt honger als een …;paard;olifant;walvis;boktor
32;Waar komt de kiwi (vogel) van nature alleen voor?;Nieuw-Zeeland;Zuid-Afrika;Australië ;Borneo
33;Hoe noem je de ogen van een vlieg ook wel?;Facetogen;Minikijkers;Staargaten;Brillenogen
34;Wat is de meest bedreigde apensoort in Afrika?;De gorilla;De chimpansee;De bonobo;De gibbon
35;Een Surinaamse pad is…;tongloos;een vegetariër;een landbewoner;doof
36;Hoe kun je zien wat voor kleur eieren een kip legt?;Door de oorlellen;Door de staart;Door de oogkleur;Door de veren
37;Hoe praten haringen met elkaar?;Door scheten te laten;Door te zoenen;Door te zingen;Door te bubbelen
38;Wat is een dar?;Een mannetjesbij;Een bijenkoningin;Een vrouwtjesbij;Een andere naam voor honing
39;Wat is een scarabee?;Een insect;Een kroontje;Een bacterie;Een enge bij
40;Wat is een pieterman?;Een giftige vis;Een journalist;Een luis;Een hulpje van Sinterklaas
41;Welk dier heeft 10 harten?;Een worm;Een duizendpoot;Een koe;Een rups
42;Een trilobiet is een …;Uitgestorven geleedpotige;Een soort groente;Een driepotig insect;Een vlinder uit Madagaskar
43;"""Als een … zonder kop"" ";kip;papegaai;muis;eend
44;Een vogelbekdier is een ... ;eierleggend zoogdier;soort papegaai;bacterie;fantasiebeest
45;Het nest van een roofvogel wordt een … genoemd.;horst;burcht;kasteel ;fort
46;Zo trots als een …;pauw;paard;flamingo;gans
47;Van de poep van welk dier wordt koffie gemaakt?;Kat;Hond;Konijn;Goudvis
48;Wat is GEEN vogel?;Vliegend hert;Wulp;Karekiet;Grutto
49;Wie is kampioen hoogvliegen?;Rüppells gier;Indische gans;Torenvalk;Grutto's
50;"""Er als de ... bij zijn"" ";kippen;katten;apen;honden
51;Als je lijdt aan alektorofobie, ben je bang voor …;Kippen;Eenden;Kraaien;Insecten
52;"""Toen kwam de … uit de mouw"" ";aap;Rat;Muis;Kat
53;"""Een ongelikte … zijn"" ";beer;hond;wolf;kat
54;"""De ... in de pot vinden""  ";hond;aap;rat;kat
55;Welk dier wordt in het Latijn 'Panthera Leo' genoemd?;Leeuw;Panter;Tijger;Kat
56;"""Een gegeven … niet in de bek kijken"" ";paard;hond;kat;koe
57;"""Een vreemde … In de bijt""";eend;gans;zwaan;koet
58;Zo doof als een…;kwartel;papegaai;kalkoen;konijn
59;Welk dier wordt in het Latijn 'Vulpes Vulpes' genoemd?;Vos;Beer;Wolf;Kraai
60;"""Daar kraait geen … naar"" ";haan;papegaai;kraai;meeuw
61;"""Met de … op stok gaan"" ";kippen;kuikens;duiven;meeuwen
62;"""Één ... maakt nog geen zomer""";zwaluw;ijsbeer;nachtegaal;merel
63;Een vos verliest nooit zijn …;streken;haren;sleutels;nagels
