ID;Vragen;Land;Hoofdstad;Werelddeel;Asked
1;Wat is de hoofdstad van;Algerije;Algiers;Afrika;
2;Wat is de hoofdstad van;Angola;Luanda;Afrika;
3;Wat is de hoofdstad van;Benin;Porto-Novo;Afrika;
4;Wat is de hoofdstad van;Botswana;Gaborone;Afrika;
5;Wat is de hoofdstad van;Burkina Faso;Ouagadougou;Afrika;
6;Wat is de hoofdstad van;Burundi;Bujumbura;Afrika;
7;Wat is de hoofdstad van;de Centraal-Afrikaanse Republiek;Bangui;Afrika;
8;Wat is de hoofdstad van;de Comoren;Moroni;Afrika;
9;Wat is de hoofdstad van;Congo-Brazzaville;Brazzaville;Afrika;
10;Wat is de hoofdstad van;Congo-Kinshasa;Kinshasa;Afrika;
11;Wat is de hoofdstad van;Djibouti;Djibouti;Afrika;
12;Wat is de hoofdstad van;Egypte;Caïro;Afrika;
13;Wat is de hoofdstad van;Equatoriaal-Guinea;Malabo;Afrika;
14;Wat is de hoofdstad van;Eritrea;Asmara;Afrika;
15;Wat is de hoofdstad van;Ethiopië;Addis Abeba;Afrika;
16;Wat is de hoofdstad van;Gabon;Libreville;Afrika;
17;Wat is de hoofdstad van;Gambia;Banjul;Afrika;
18;Wat is de hoofdstad van;Ghana;Accra;Afrika;
19;Wat is de hoofdstad van;Guinee;Conakry;Afrika;
20;Wat is de hoofdstad van;Guinee-Bissau;Bissau;Afrika;
21;Wat is de hoofdstad van;Ivoorkust;Yamoussoukro;Afrika;
22;Wat is de hoofdstad van;Kaapverdië ;Praia;Afrika;
23;Wat is de hoofdstad van;Kameroen;Yaoundé;Afrika;
24;Wat is de hoofdstad van;Kenia;Nairobi;Afrika;
25;Wat is de hoofdstad van;Lesotho;Maseru;Afrika;
26;Wat is de hoofdstad van;Liberia;Monrovia;Afrika;true
27;Wat is de hoofdstad van;Libië;Tripoli;Afrika;
28;Wat is de hoofdstad van;Madagaskar;Antananarivo;Afrika;
29;Wat is de hoofdstad van;Malawi;Lilongwe;Afrika;
30;Wat is de hoofdstad van;Mali;Bamako;Afrika;
31;Wat is de hoofdstad van;Marokko;Rabat;Afrika;
32;Wat is de hoofdstad van;Mauritanië;Nouakchott;Afrika;
33;Wat is de hoofdstad van;Mauritius;Port Louis;Afrika;
34;Wat is de hoofdstad van;Mozambique;Maputo;Afrika;
35;Wat is de hoofdstad van;Namibië;Windhoek;Afrika;
36;Wat is de hoofdstad van;Niger;Niamey;Afrika;
37;Wat is de hoofdstad van;Nigeria;Abuja;Afrika;
38;Wat is de hoofdstad van;Oeganda;Kampala;Afrika;
39;Wat is de hoofdstad van;Rwanda;Kigali;Afrika;
40;Wat is de hoofdstad van;Sao Tomé en Principe;Sao Tomé;Afrika;
41;Wat is de hoofdstad van;Senegal;Dakar;Afrika;
42;Wat is de hoofdstad van;de Seychellen;Victoria;Afrika;
43;Wat is de hoofdstad van;Sierra Leone;Freetown;Afrika;
44;Wat is de hoofdstad van;Soedan;Khartoem;Afrika;
45;Wat is de hoofdstad van;Somalië;Mogadishu;Afrika;
46;Wat is de hoofdstad van;Swaziland;Lobamba; Mbabane;Afrika;
47;Wat is de hoofdstad van;Tanzania;Dodoma;Afrika;
48;Wat is de hoofdstad van;Togo;Lomé;Afrika;
49;Wat is de hoofdstad van;Tsjaad;Ndjamena;Afrika;
50;Wat is de hoofdstad van;Tunesië;Tunis;Afrika;
51;Wat is de hoofdstad van;Zambia;Lusaka;Afrika;
52;Wat is de hoofdstad van;Zimbabwe;Harare;Afrika;true
53;Wat is de hoofdstad van;Zuid-Afrika;Pretoria;Afrika;
54;Wat is de hoofdstad van;Zuid-Soedan;Djoeba;Afrika;
55;Wat is de hoofdstad van;Afghanistan;Kabul;Azië;
56;Wat is de hoofdstad van;Armenië;Jerevan;Azië;
57;Wat is de hoofdstad van;Azerbeidzjan;Bakoe;Azië;
58;Wat is de hoofdstad van;Bahrein;Manamah;Azië;
59;Wat is de hoofdstad van;Bangladesh;Dhaka;Azië;
60;Wat is de hoofdstad van;Bhutan;Thimphu;Azië;
61;Wat is de hoofdstad van;Brunei;Bandar Seri Begawan;Azië;
62;Wat is de hoofdstad van;Cambodja;Phnom-Penh;Azië;
63;Wat is de hoofdstad van;China;Peking;Azië;true
64;Wat is de hoofdstad van;Cyprus;Nicosia;Azië;
65;Wat is de hoofdstad van;de Filipijnen;Manilla;Azië;
66;Wat is de hoofdstad van;Georgië;Tbilisi;Azië;
67;Wat is de hoofdstad van;India;New Delhi;Azië;
68;Wat is de hoofdstad van;Indonesië;Jakarta;Azië;
69;Wat is de hoofdstad van;Irak;Bagdad;Azië;
70;Wat is de hoofdstad van;Iran;Teheran;Azië;
71;Wat is de hoofdstad van;Israël;Jeruzalem;Azië;
72;Wat is de hoofdstad van;Japan;Tokio;Azië;
73;Wat is de hoofdstad van;Jemen;Sanaa;Azië;
74;Wat is de hoofdstad van;Jordanië;Amman;Azië;
75;Wat is de hoofdstad van;Kazachstan;Astana;Azië;
76;Wat is de hoofdstad van;Kirgizië;Bisjkek;Azië;
77;Wat is de hoofdstad van;Koeweit;Koeweit;Azië;
78;Wat is de hoofdstad van;Laos;Vientiane;Azië;
79;Wat is de hoofdstad van;Libanon;Beiroet;Azië;
80;Wat is de hoofdstad van;de Malediven;Malé;Azië;
81;Wat is de hoofdstad van;Maleisië;Kuala Lumpur;Azië;
82;Wat is de hoofdstad van;Mongolië;Ulaanbaatar;Azië;
83;Wat is de hoofdstad van;Myanmar;Naypyidaw;Azië;
84;Wat is de hoofdstad van;Nepal;Kathmandu;Azië;
85;Wat is de hoofdstad van;Noord-Korea;Pyongyang;Azië;
86;Wat is de hoofdstad van;Oezbekistan;Tasjkent;Azië;true
87;Wat is de hoofdstad van;Oman;Masqat;Azië;
88;Wat is de hoofdstad van;Oost-Timor;Dili;Azië;
89;Wat is de hoofdstad van;Pakistan;Islamabad;Azië;
90;Wat is de hoofdstad van;Palestina;Oost-Jeruzalem;Azië;
91;Wat is de hoofdstad van;Qatar;Doha;Azië;
92;Wat is de hoofdstad van;Saoedi-Arabië;Riyad;Azië;
93;Wat is de hoofdstad van;Singapore;Singapore;Azië;
94;Wat is de hoofdstad van;Sri Lanka;Sri Jayewardenapura Kotte;Azië;
95;Wat is de hoofdstad van;Syrië;Damascus;Azië;
96;Wat is de hoofdstad van;Tadzjikistan;Doesjanbe;Azië;
97;Wat is de hoofdstad van;Taiwan;Taipei;Azië;
98;Wat is de hoofdstad van;Thailand;Bangkok;Azië;true
99;Wat is de hoofdstad van;Turkije;Ankara;Azië;
100;Wat is de hoofdstad van;Turkmenistan;Asjchabad;Azië;
101;Wat is de hoofdstad van;de Verenigde Arabische Emiraten;Abu Dhabi;Azië;
102;Wat is de hoofdstad van;Vietnam;Hanoi;Azië;
103;Wat is de hoofdstad van;Zuid-Korea;Seoel;Azië;
104;Wat is de hoofdstad van;Antigua en Barbuda;Saint John's;Noord- en Midden-Amerika;
105;Wat is de hoofdstad van;Albanië;Tirana;Europa;
106;Wat is de hoofdstad van;Andorra;Andorra la Vella;Europa;true
107;Wat is de hoofdstad van;België;Brussel;Europa;
108;Wat is de hoofdstad van;Bosnië en Herzegovina;Sarajevo;Europa;
109;Wat is de hoofdstad van;Bulgarije;Sofia;Europa;
110;Wat is de hoofdstad van;Denemarken;Kopenhagen;Europa;
111;Wat is de hoofdstad van;Duitsland;Berlijn;Europa;
112;Wat is de hoofdstad van;Estland;Tallinn;Europa;
113;Wat is de hoofdstad van;Finland;Helsinki;Europa;
114;Wat is de hoofdstad van;Frankrijk;Parijs;Europa;true
115;Wat is de hoofdstad van;Griekenland;Athene;Europa;
116;Wat is de hoofdstad van;Hongarije;Boedapest;Europa;
117;Wat is de hoofdstad van;Ierland;Dublin;Europa;
118;Wat is de hoofdstad van;IJsland;Reykjavik;Europa;
119;Wat is de hoofdstad van;Italië;Rome;Europa;
120;Wat is de hoofdstad van;Kosovo;Pristina;Europa;
121;Wat is de hoofdstad van;Kroatië;Zagreb;Europa;true
122;Wat is de hoofdstad van;Letland;Riga;Europa;
123;Wat is de hoofdstad van;Liechtenstein;Vaduz;Europa;
124;Wat is de hoofdstad van;Litouwen;Vilnius;Europa;
125;Wat is de hoofdstad van;Luxemburg;Luxemburg;Europa;
126;Wat is de hoofdstad van;Macedonië;Skopje;Europa;
127;Wat is de hoofdstad van;Malta;Valletta;Europa;
128;Wat is de hoofdstad van;Moldavië;Chisinau;Europa;
129;Wat is de hoofdstad van;Monaco;Monaco;Europa;
130;Wat is de hoofdstad van;Montenegro;Podgorica;Europa;
131;Wat is de hoofdstad van;Nederland;Amsterdam;Europa;
132;Wat is de hoofdstad van;Noorwegen;Oslo;Europa;
133;Wat is de hoofdstad van;Oekraïne;Kiev;Europa;
134;Wat is de hoofdstad van;Oostenrijk;Wenen;Europa;
135;Wat is de hoofdstad van;Polen;Warschau;Europa;
136;Wat is de hoofdstad van;Portugal;Lissabon;Europa;
137;Wat is de hoofdstad van;Roemenië;Boekarest;Europa;
138;Wat is de hoofdstad van;Rusland;Moskou;Europa;
139;Wat is de hoofdstad van;San Marino;San Marino;Europa;
140;Wat is de hoofdstad van;Servië;Belgrado;Europa;
141;Wat is de hoofdstad van;Slovenië;Ljubljana;Europa;
142;Wat is de hoofdstad van;Slowakije;Bratislava;Europa;
143;Wat is de hoofdstad van;Spanje;Madrid;Europa;
144;Wat is de hoofdstad van;Tsjechië;Praag;Europa;
145;Wat is de hoofdstad van;Turkije;Ankara;Europa;
146;Wat is de hoofdstad van;Vaticaanstad;Vaticaanstad;Europa;
147;Wat is de hoofdstad van;het Verenigd Koninkrijk;Londen;Europa;
148;Wat is de hoofdstad van;Wit-Rusland;Minsk;Europa;
149;Wat is de hoofdstad van;Zweden;Stockholm;Europa;
150;Wat is de hoofdstad van;Zwitserland;Bern;Europa;
151;Wat is de hoofdstad van;de Bahama's;Nassau;Noord- en Midden-Amerika;
152;Wat is de hoofdstad van;Barbados;Bridgetown;Noord- en Midden-Amerika;
153;Wat is de hoofdstad van;Belize;Belmopan;Noord- en Midden-Amerika;
154;Wat is de hoofdstad van;Canada;Ottawa;Noord- en Midden-Amerika;
155;Wat is de hoofdstad van;Costa Rica;San José;Noord- en Midden-Amerika;
156;Wat is de hoofdstad van;Cuba;Havana;Noord- en Midden-Amerika;
157;Wat is de hoofdstad van;Dominica;Roseau;Noord- en Midden-Amerika;
158;Wat is de hoofdstad van;de Dominicaanse Republiek;Santo Domingo;Noord- en Midden-Amerika;
159;Wat is de hoofdstad van;El Salvador;San Salvador;Noord- en Midden-Amerika;
160;Wat is de hoofdstad van;Grenada;Saint George's;Noord- en Midden-Amerika;
161;Wat is de hoofdstad van;Guatemala;Guatemala-Stad;Noord- en Midden-Amerika;
162;Wat is de hoofdstad van;Haïti;Port-au-Prince;Noord- en Midden-Amerika;
163;Wat is de hoofdstad van;Honduras;Tegucigalpa;Noord- en Midden-Amerika;
164;Wat is de hoofdstad van;Jamaica;Kingston;Noord- en Midden-Amerika;
165;Wat is de hoofdstad van;Mexico;Mexico-Stad;Noord- en Midden-Amerika;
166;Wat is de hoofdstad van;Nicaragua;Managua;Noord- en Midden-Amerika;
167;Wat is de hoofdstad van;Panama;Panama-Stad;Noord- en Midden-Amerika;
168;Wat is de hoofdstad van;Saint Kitts en Nevis;Basseterre;Noord- en Midden-Amerika;
169;Wat is de hoofdstad van;Saint Lucia;Castries;Noord- en Midden-Amerika;
170;Wat is de hoofdstad van;Saint Vincent en de Grenadines;Kingstown;Noord- en Midden-Amerika;
171;Wat is de hoofdstad van;Trinidad en Tobago;Port of Spain;Noord- en Midden-Amerika;
172;Wat is de hoofdstad van;de Verenigde Staten;Washington D.C.;Noord- en Midden-Amerika;
173;Wat is de hoofdstad van;Australië;Canberra;Oceanië;
174;Wat is de hoofdstad van;Nieuw-Zeeland;Wellington;Oceanië;
175;Wat is de hoofdstad van;Argentinië;Buenos Aires;Zuid-Amerika;
176;Wat is de hoofdstad van;Bolivia;La Paz;Zuid-Amerika;
177;Wat is de hoofdstad van;Brazilië;Brasilia;Zuid-Amerika;
178;Wat is de hoofdstad van;Chili;Santiago;Zuid-Amerika;
179;Wat is de hoofdstad van;Colombia;Bogota;Zuid-Amerika;
180;Wat is de hoofdstad van;Ecuador;Quito;Zuid-Amerika;
181;Wat is de hoofdstad van;Guyana;Georgetown;Zuid-Amerika;
182;Wat is de hoofdstad van;Paraguay;Asunción;Zuid-Amerika;
183;Wat is de hoofdstad van;Peru;Lima;Zuid-Amerika;
184;Wat is de hoofdstad van;Suriname;Paramaribo;Zuid-Amerika;
